搜索字段,商品名称,价格,店铺名称,颜色,评论数,图片,店铺ID,卖点,skuId,总销量,商品ID
英特尔酷睿i3 CPU 自营,英特尔（Intel）酷睿12代 i5处理器12600KF 10核16线程 单核睿频至高可达4.9Ghz 20M三级缓存 盒装CPU,1349.00,英特尔京东自营旗舰店,12600KF盒装CPU,10万+,jfs/t1/426708/28/9599/108813/69f19dd1Fcd9fec6f/0083320320219344.png,1000000693,超值选择;异构强芯;游戏利器;强劲性能,100026951642,10万+,100026951642
英特尔酷睿i3 CPU 自营,英特尔14代i5-14600KF CPU处理器,1729.00,英特尔京东自营旗舰店,14600KF盒装CPU,5万+,jfs/t1/429365/23/702/119319/69f19dc9F2594f41d/00833203205b9fe7.png,1000000693,强劲游戏体验;高负载支持;5.3睿频至高;高效多核,100069427196,10万+,100069427196
英特尔酷睿i3 CPU 自营,大水牛L9W CPU风冷散热器,27.90,大水牛京东自营旗舰店,L9W(Intel/9CM风扇/镶铜底座),20万+,jfs/t1/278098/11/13680/38978/67ea527cF18f8c673/65f9707641723a61.jpg,1000000707,支持1200;9CM风扇;穿片工艺;镶铜底座;兼容多平台;白色外观;兼容1151;液压轴承,100213267382,40万+,100213267382
英特尔酷睿i3 CPU 自营,精粤B760M HD主板DDR4内存台式电脑主板支持CPU酷睿i5 12400F/13400F/12490F（Intel B760/LGA 1700）,378.00,精粤京东自营旗舰店,精粤B760M HD,5000+,jfs/t20280105/381932/4/12827/141306/695b1307F8267c55b/0a02320320808c1c.jpg,1000600299,支持酷睿i5;M.2固态接口;ARGB灯效;NVMe协议;DDR4内存,100213911766,8000+,100213911766
英特尔酷睿i3 CPU 自营,精粤B760M-HD WIFI主板DDR4内存台式电脑主板CPU酷睿i5 13400F/12400F/13490F（Intel B760/LGA 1700）,418.00,精粤京东自营旗舰店,B760M-HD WIFI,5000+,jfs/t20280105/381957/1/12293/144936/695b1306Fac686403/0a02320320fc17f9.jpg,1000600299,LGA1700;多接口设计;RGB灯效;NVMe协议;Wi-Fi 5,100229734494,8000+,100229734494
英特尔酷睿i3 CPU 自营,精粤H610I迷你ITX主板主板1700针 CPU酷睿i3 12100/i5 12400/13400（Intel H610/LGA 1700）,418.00,精粤京东自营旗舰店,精粤H610I GAMING,5000+,jfs/t20280105/382169/4/15194/142921/695b1305F004874c3/0a02320320f50015.jpg,1000600299,ITX主板;RGB灯效;8相供电;SATA接口;PCIe 4.0;酷睿兼容;ITX板型;迷你设计;迷你ITX;SSD接口,100213911714,8000+,100213911714
英特尔酷睿i3 CPU 自营,固维坚 三防平板电脑工业防爆 工业pda 酷睿i5CPU四核8线程 8G+128GB SSD拓展大内存IP68移动工作站W80Y ,6399.00,固维坚工业电脑京东自营旗舰店,8+128GB 酷睿i5 标配W80Y,500+,jfs/t1/246167/20/9796/104859/665d2a48Fdc896e7c/65b08d2e6ed7d126.jpg,1000453061,,100340898272,400+,100340898272
英特尔酷睿i3 CPU 自营,精粤B760M HD/W主板DDR4内存台式电脑主板 CPU 酷睿i5 12400F/13400F/12490F（Intel B760/LGA 1700）,378.00,精粤京东自营旗舰店,精粤B760M HD/W,5000+,jfs/t20280105/378180/16/21185/138979/695b1306F541f6257/0a02320320d04b6c.jpg,1000600299,双M.2接口;8相供电;丰富接口;NVMe加速,100213911752,8000+,100213911752
AMD锐龙9 CPU 自营,AMD锐龙9 9950X3D2双X3D缓存处理器16核32线程208MB缓存至高5.6GHz盒装CPU生产力千帧电竞打瓦/三角洲,6999.00,AMD京东自营旗舰店,,200+,jfs/t1/423986/31/20017/66293/69f32c98Fb1a7e5eb/0083320320df11e2.jpg,1000000706,208M游戏缓存;千帧电竞;至高5.6GHz,100256939673,600+,100256939673
AMD锐龙9 CPU 自营,AMD锐龙 9 9900X处理器(R9) 4nm 12核24线程 加速频率至高5.6GHz 盒装CPU 畅玩打瓦/三角洲/CSGO,2679.00,AMD京东自营旗舰店,,2000+,jfs/t1/424929/3/17753/88510/69f32bb7Faaa86ddb/0083320320120637.jpg,1000000706,120W ;76MB缓存;12核24线程;多任务处理;支持核显;电竞娱乐;5.6GHz加速;电竞游戏利器;高效能核芯;适用广泛,100110580201,5000+,100110580201
AMD锐龙9 CPU 自营,AMD锐龙 9 9950X处理器(R9) 4nm 16核32线程 加速频率至高5.7GHz 盒装CPU 畅玩打瓦/三角洲/CSGO,3619.00,AMD京东自营旗舰店,,1万+,jfs/t1/422386/31/18948/88086/69f32b54Fb9b91949/0083320320033e03.jpg,1000000706,先进4nm工艺;64MB缓存;性能飞跃;电竞之选,100110580223,1万+,100110580223
AMD锐龙9 CPU 自营,AMD锐龙9 9950X3D处理器16核32线程144MB缓存至高5.7GHz盒装CPU生产力 千帧电竞畅玩打瓦/三角洲/CSGO,4779.00,AMD京东自营旗舰店,9950X3D盒装CPU,1万+,jfs/t1/424859/28/16906/90505/69f32aabFabba27b7/008332032035e8de.jpg,1000000706,电竞利器;高频性能;大缓存设计;游戏加速,100149071725,2万+,100149071725
AMD锐龙9 CPU 自营,华硕TUF GAMING X870E-PLUS WIFI7主板+AMD 锐龙9  9950X CPU  主板+CPU套装,5898.00,华硕京东自营旗舰店,TUF  X870E-PLUS WIFI7+9950X,200+,jfs/t1/292481/10/14922/124119/6875fe6eFdb0d8b51/bf61b888fb5846b1.jpg,1000000225,强劲性能,100251350650,600+,100251350650
AMD锐龙9 CPU 自营,AMD锐龙 9 5900XT处理器(R9)7nm 16核32线程 加速频率至高4.8GHz盒装CPU ,2549.00,AMD京东自营旗舰店,,500+,jfs/t1/262897/14/22000/31409/67b63a24Fcb7bf35c/fb6761ea9db1602e.jpg,1000000706,7纳米工艺;多任务处理;16核32线程;至高4.8GHz,100193966570,800+,100193966570
AMD锐龙9 CPU 自营,ROG STRIX X870E-E GAMING WIFI主板+AMD 锐龙9 9950X3D CPU  主板+CPU套装,7998.00,华硕京东自营旗舰店,ROG X870E-E WIFI+9950X3D,1万+,jfs/t1/250150/38/38015/147609/67c80112F06aeda3b/04ce6043fcab413b.jpg,1000000225,WIFI支持;AI智能优化;游戏专属;游戏利器,100153928087,2万+,100153928087
AMD锐龙9 CPU 自营,华硕TUF GAMING X870-PLUS WIFI主板+AMD 锐龙9 9950X CPU  主板+CPU套装,5798.00,华硕京东自营旗舰店,TUF  X870-PLUS WIFI+9950X,200+,jfs/t1/266385/14/678/141655/67650a0dF8144eaa9/68bd8a1229e860a4.jpg,1000000225,超频能力;优质材料;信赖品质;专享散热;稳定信号;游戏利器;高速兼容;强劲性能;多核处理;耐用设计,100122781903,600+,100122781903
AMD锐龙9 CPU 自营,AMD锐龙 9 9900X3D处理器 12核24线程140MB游戏高速缓存 盒装CPU 专业生产力 畅玩打瓦/三角洲/CSGO,3999.00,AMD京东自营旗舰店,9900X3D盒装CPU,2000+,jfs/t1/425636/16/15040/90538/69f32ad3F34acb9d2/00833203206a9a42.jpg,1000000706,4.4GHz;多线程处理;高效能核芯;大容量缓存,100187932528,3000+,100187932528
AMD锐龙9 CPU 自营,华硕TUF GAMING X870-PRO WIFI7 W NEO主板+AMD 锐龙9 9950X CPU  主板+CPU套装,6098.00,华硕京东自营旗舰店,TUF X870-PRO  WIIF7+9950X,200+,jfs/t1/404817/7/6183/128515/69b8cb1cF5ebaf631/0083320320528d89.jpg,1000000225,主板换新;AMD锐龙;高速WIFI;强劲性能;ATX标准,100331153970,600+,100331153970
AMD锐龙9 CPU 自营,AMD锐龙9 7950X处理器(r9) 16核32线程 加速频率至高5.7GHz 170W AM5 盒装CPU 畅玩打瓦/三角洲/CSGO,4199.00,AMD京东自营旗舰店,R9 7950X|4.5GHz|16核32线程,1万+,jfs/t1/403733/5/18951/46869/69c4da64Fb3a24e56/00833203207c06f4.jpg,1000000706,ZEN 4架构;超凡性能;5纳米工艺;创造效率;高频性能;支持核显;快速响应;率先体验;游戏流畅;16核32线程,100039537667,1万+,100039537667
AMD锐龙9 CPU 自营,AMD锐龙R9 9950X搭华硕PRIME X870-P WIFI 主板CPU套装 板U套装,5499.00,AMD京东自营旗舰店,R9 9950X,500+,jfs/t1/229464/22/27866/90202/67078409F542bb2ed/54252203eacb6d72.jpg,1000000706,简易安装;多核处理;稳定性能;超频利器;稳定兼容;快速响应;强劲性能;高清图像;高效运算;优质散热,100122832215,900+,100122832215
AMD锐龙9 CPU 自营,华硕TUF GAMING X870E-PLUS WIFI7主板+AMD 锐龙9  9950X3D CPU  主板+CPU套装,7098.00,华硕京东自营旗舰店,TUF  X870E-PLUS WIFI7+9950X3D,200+,jfs/t1/287688/13/23024/125879/6875fe67F41b54a17/a86a2c67b53b5915.jpg,1000000225,混合双模超频;主板一年换新;4个M.2接口;强劲性能,100191357155,600+,100191357155
AMD锐龙9 CPU 自营,七彩虹（Colorful） 主板CPU套装CVN X870E ARK FROZEN V14+AMD 锐龙 9 9950X3D主板+CPU套装,6798.00,七彩虹京东自营旗舰店,七彩虹X870E ARK WIFI+9950X3D,1万+,jfs/t1/359903/34/3354/147155/6915b544F00b3b233/d0dcb1cce997d0c3.jpg,1000000267,主板换新;优惠套装;ATX标准;四年质保;AMD锐龙芯;标准ATX板;标准ATX,100288829800,2万+,100288829800
AMD锐龙9 CPU 自营,AMD锐龙R9 9900X搭华硕TUF GAMING B850M-PLUS重炮手 主板CPU套装 板U套装,3949.00,AMD京东自营旗舰店,R9 9900X,2000+,jfs/t1/252761/19/26164/77424/67c93819F11b6c0b3/098639acc14540fc.jpg,1000000706,游戏利器;兼容性强;丰富接口,100196238540,3000+,100196238540
AMD锐龙9 CPU 自营,七彩虹（Colorful） 主板CPU套装COLORFIRE B850M-MEOW WIFI7 V14+AMD 锐龙 9 9900X主板+CPU套装,3449.00,七彩虹京东自营旗舰店,R9 9900X,200+,jfs/t1/298442/33/14510/156975/68db7246F137d7a12/b932c488d4486b9d.jpg,1000000267,紧凑设计,100214371013,200+,100214371013
AMD锐龙9 CPU 自营,微星（MSI）主板CPU套装B850MPOWER+AMD锐龙9 9950X 板U套装,5098.00,微星京东自营旗舰店,主板CPU套装,200+,jfs/t1/343219/1/2504/383421/68c3ba2cFfbbd6964/76fdb8434943db39.jpg,1000000266,专业超频组合;套装购买更优惠;9950X套装;AMD技术;微星品质;锐龙9核心;紧凑型设计;优惠套装;三年质保,100266120226,300+,100266120226
AMD锐龙9 CPU 自营,七彩虹（Colorful） 主板CPU套装CVN B850M ARK FROZEN V14+AMD 锐龙 9 9950X3D主板+CPU套装,5898.00,七彩虹京东自营旗舰店,七彩虹B850M ARK WIFI+9950X3D,1万+,jfs/t1/359392/7/7639/146686/6915b4efF2b18374c/459f8eaf78dad8ef.jpg,1000000267,主板换新;紧凑设计;锐龙9核心;四年质保;优惠套装,100285838894,2万+,100285838894
AMD锐龙9 CPU 自营,AMD锐龙9 7950X3D游戏处理器16核32线程144MB游戏缓存加速频率至高5.7GHz盒装CPU 畅玩无畏契约/CSGO,5299.00,AMD京东自营旗舰店,R9 7950X3D|4.2GHz|16核32线程,5000+,jfs/t1/305767/29/22470/46458/688b2183F4021e582/938b4a4db992d1d0.jpg,1000000706,144MB缓存;4.2GHz;高效散热设计;大缓存加速;多核性能;32线程处理;高速游戏;适用于游戏;16核强劲;兼容7000系列,100053675655,6000+,100053675655
AMD锐龙9 CPU 自营,七彩虹（Colorful） 主板CPU套装CVN B850M ARK FROZEN V14+AMD 锐龙 9 9900X3D主板+CPU套装,4998.00,七彩虹京东自营旗舰店,七彩虹B850M ARK WIFI+9900X3D,2000+,jfs/t1/343343/5/26686/146580/6915b50cF3633a6d5/bba340c35fe6be30.jpg,1000000267,主板换新;AMD锐龙9;四年质保;紧凑设计;优惠套装,100214371009,3000+,100214371009
AMD锐龙9 CPU 自营,七彩虹（Colorful） 主板CPU套装BATTLE-AX B850M-PLUS S WIFI7 V14+AMD 锐龙 9 9900X主板+CPU套装,3449.00,七彩虹京东自营旗舰店,R9 9900X,200+,jfs/t1/339161/20/16038/162924/68db4205F445a85ee/9f666546a49daa10.jpg,1000000267,WIFI7;WiFi7支持;紧凑设计;锐龙9核心;强劲性能,100284567320,600+,100284567320
AMD锐龙9 CPU 自营,七彩虹（Colorful） 主板CPU套装CVN B850M GAMING FROZEN V14 战列舰+AMD 锐龙 9 9900X  CPU 主板+CPU套装,3599.00,七彩虹京东自营旗舰店,R9 9900X,200+,jfs/t1/373592/24/1396/170572/69312b6eFb094c202/df50e7e91540a149.jpg,1000000267,,100197863990,700+,100197863990
AMD锐龙9 CPU 自营,微星（MSI）微星MAG X870 TOMAHAWK WIFI+AMD 锐龙 9 9900X处理器(R9)4nm 12核24线程-主板CPU套装,4099.00,微星京东自营旗舰店,9900X,500+,jfs/t1/299446/24/6404/135274/68637909F4480c50b/19eae6a51395f549.jpg,1000000266,官方自营;套装更优惠;主板三年质保;ATX标准型;套装优惠;24线程流畅;AMD锐龙9;高效电源管理;4nm工艺技术;先进散热设计,100124024865,1000+,100124024865
AMD锐龙9 CPU 自营,微星（MSI）主板CPU套装B850MPOWER+AMD锐龙9 9950X3D 板U套装,6298.00,微星京东自营旗舰店,主板CPU套装,200+,jfs/t1/343965/40/4296/393788/68ca0ea7F05de791f/e23ab40e88bd189c.jpg,1000000266,专业超频组合;套装购买更优惠;享三年质保;AMD锐龙;多核处理;AMD锐龙9;紧凑设计;高性能处理;紧凑型设计;优惠套装,100201193943,300+,100201193943
AMD锐龙9 CPU 自营,ROG CROSSHAIR X870E HERO主板+AMD 锐龙9 9950X3D CPU  主板+CPU套装,9498.00,华硕京东自营旗舰店,ROG X870E HERO+9950X3D,1万+,jfs/t1/238049/31/35652/134893/67c800e7F1b400153/e754c6bdc089f72a.jpg,1000000225,5个M.2接口;强劲性能;游戏利器;主板一年换新,100153928089,2万+,100153928089
AMD锐龙9 CPU 自营,微星（MSI）主板CPU套装X870E TOMAHAWK WIFI+AMD锐龙9 9950X 板U套装,5549.00,微星京东自营旗舰店,9950X,500+,jfs/t1/317613/30/12582/131162/68637913F8936072d/97f362dbec7fb33e.jpg,1000000266,主板三年质保;官方自营;套装更优惠;WIFI;WIFI加持;WiFi集成;套装优惠;三年质保;强劲性能;ATX标准,100186292994,1000+,100186292994
AMD锐龙9 CPU 自营,微星（MSI）主板CPU套装B850MPOWER+AMD锐龙9 9900X3D 板U套装,5398.00,微星京东自营旗舰店,主板CPU套装,200+,jfs/t1/350923/36/2622/384352/68c3d98dF637e2c55/d192f768a7a9d4c2.jpg,1000000266,99X3D套装;专业超频组合;套装购买更优惠,100266120282,300+,100266120282
AMD锐龙9 CPU 自营,七彩虹（Colorful） 主板CPU套装CVN B850M ARK FROZEN V14+AMD 锐龙 9 9950X主板+CPU套装,4698.00,七彩虹京东自营旗舰店,R9 9950X,200+,jfs/t1/330458/4/18516/158278/68db7b4dF5394ea5e/ca8bccc585e70c5d.jpg,1000000267,主板换新;四年质保;紧凑设计;优惠套装;AMD锐龙9,100214371025,700+,100214371025
AMD锐龙9 CPU 自营,微星（MSI）微星MAG X870 TOMAHAWK WIFI+AMD 锐龙 9 9950X处理器(R9)4nm 16核32线程-主板CPU套装,5098.00,微星京东自营旗舰店,9950X,500+,jfs/t1/302091/32/16462/135225/68637907Fb8c7f5a5/913bd33f00162fa1.jpg,1000000266,套装更优惠;官方自营;主板三年质保;高端主板;强劲性能;标准ATX;多核支持;16核32线程;多核性能;主板三年保,100150346806,1000+,100150346806
AMD锐龙9 CPU 自营,ROG STRIX X870-A GAMING WIFI S主板+AMD 锐龙9  9950X3D CPU  主板+CPU套装,7398.00,华硕京东自营旗舰店,ROG X870吹雪S+9950X3D,1万+,jfs/t1/329861/8/4603/163724/68ad83c9Faa6159a6/d9881eca0cff2543.jpg,1000000225,主板一年换新;4个M.2接口;游戏专用板;WiFi集成,100203927297,2万+,100203927297
AMD锐龙7 CPU 自营,AMD锐龙 7 9700X 处理器(R7) 4nm 8核16线程 加速频率至高5.5GHz 盒装CPU 畅玩打瓦/三角洲/CSGO,1729.00,AMD京东自营旗舰店,9700X盒装CPU,5万+,jfs/t1/425815/6/14120/95289/69f32bd8Ff5800832/0083320320b992c6.jpg,1000000706,电竞娱乐佳;性能卓越;强大多线程;5.5GHz加速,100109234839,9万+,100109234839
AMD锐龙7 CPU 自营,AMD锐龙7 7800X3D游戏处理器8核16线程104MB游戏缓存 加速频率至高5GHz盒装CPU 畅玩打瓦/三角洲/CSGO,2499.00,AMD京东自营旗舰店,7800X3D盒装CPU,2万+,jfs/t1/428069/11/7484/96334/69f32c27Fcc948538/0083320320cb3189.jpg,1000000706,畅玩无忧;优质稳定性;至高达5GHz;超频发烧,100046394400,5万+,100046394400
AMD锐龙7 CPU 自营,AMD锐龙 7 9800X3D 游戏处理器 8核16线程104MB游戏缓存盒装CPU 畅玩打瓦/三角洲/CSGO 千帧电竞,3179.00,AMD京东自营旗舰店,9800X3D盒装CPU,2万+,jfs/t1/424618/3/18028/94727/69f32a63F503ae170/00833203201415fc.jpg,1000000706,高频加速;极速响应速度;高效游戏体验;流畅游戏,100147630258,6万+,100147630258
AMD锐龙7 CPU 自营,华硕 B650M重炮手主板+AMD 锐龙7 7800X3D CPU 主板+CPU套装 主板cpu套装,3409.00,华硕京东自营旗舰店,B650M重炮手+7800X3D,2000+,jfs/t1/227637/8/12624/152256/65a62bbfFfd8b7abb/83250ff608d09c44.jpg,1000000225,超频支持;14供电模组;优良兼容;M.2便捷卡扣,100081236839,3000+,100081236839
AMD锐龙7 CPU 自营,华硕TUF GAMING B850M-PLUS II重炮手主板+AMD 锐龙7  9850X3D CPU  主板+CPU套装,4848.00,华硕京东自营旗舰店,华硕B850M重炮手+9850X3D,2000+,jfs/t1/385910/26/16391/127209/696f37b3F1796a109/00833203206ba8bd.jpg,1000000225,紧凑设计;强劲性能;优惠套装;主板1年换新,100318522338,4000+,100318522338
AMD锐龙7 CPU 自营,华硕TUF GAMING B850M-PLUS WIFI7重炮手主板+AMD 锐龙7  9800X3D CPU  主板+CPU套装,4469.00,华硕京东自营旗舰店,华硕B850M重炮手WIFI7+9800X3D,2万+,jfs/t1/328392/18/27991/126883/68e9c273F7e258a42/aadf1d5546d016c9.jpg,1000000225,强劲性能;3个M.2接口;紧凑设计;主板一年换新,100278773592,6万+,100278773592
AMD锐龙7 CPU 自营,华硕TUF GAMING B650M-PLUS主板+AMD 锐龙7 9800X3D CPU  主板+CPU套装,4099.00,华硕京东自营旗舰店,B650M重炮手+9800X3D,2000+,jfs/t1/246329/16/21354/160240/672c9a9cFf37f7a74/2f6fc755e5c75eaf.jpg,1000000225,紧凑设计;游戏专用,100154188956,5000+,100154188956
AMD锐龙7 CPU 自营,AMD锐龙7 8700G处理器 8核16线程 内置NPU支持AI 含Radeon Graphics集显盒装CPU畅玩打瓦/三角洲/CSGO,1869.00,AMD京东自营旗舰店,R7 8700G|4.2GHz|8核16线程,5000+,jfs/t1/423197/16/21270/86308/69f329b9Fa1a5b367/0083320320d7f446.jpg,1000000706,4.2GHz;内置集显;未来升级潜力;AM5接口;高频性能;高效能耗;游戏利器;英雄联盟;高频5.1GHz;低设置流畅,100085063815,8000+,100085063815
AMD锐龙7 CPU 自营,华硕【主板cpu套装】TUF GAMING B650M-PLUS主板+AMD 锐龙7 9700X CPU  主板+CPU套装,2678.00,华硕京东自营旗舰店,B650M重炮手+9700X,5000+,jfs/t1/67780/25/27682/136356/66a09162F9852b5fd/7712f3445b217863.jpg,1000000225,主板一年换新;2个M.2接口;神光同步;性能强劲;游戏级主板;高效能CPU;智能散热;游戏利器;AMD锐龙;稳定运行,100131197364,1万+,100131197364
AMD锐龙7 CPU 自营,AMD锐龙R7 9800X3D+微星 MAG B850 GAMING PLUS MAX WIFI DDR5主板 CPU板U套装,4799.00,AMD电脑京东自营旗舰店,9800X3D+微星 MAG B850 GAMING,500+,jfs/t1/404818/14/13447/111050/69bbb450Feba37080/00833203205c1ba1.jpg,1000481867,性能强劲;游戏精选;个人送保;ATX标准;增值发票;多核处理;WiFi集成;标准ATX;WIFI集成;DDR5内存,100195586977,1000+,100195586977
AMD锐龙7 CPU 自营,AMD锐龙 7 9850X3D处理器8核16线程104MB缓存 加速频率至高5.6GHz 盒装游戏CPU 畅玩打瓦/三角洲/CSGO,3619.00,AMD京东自营旗舰店,9850X3D盒装CPU,2000+,jfs/t1/426590/8/8870/91280/69f32a0dF973ce568/0083320320d04efa.jpg,1000000706,大容量缓存;高速加速;强劲性能;游戏畅玩,100234733669,4000+,100234733669
AMD锐龙7 CPU 自营,ROG STRIX B850-G GAMING WIFI S小吹雪主板+AMD 锐龙7 9800X3D CPU  主板+CPU套装,4569.00,华硕京东自营旗舰店,B850小吹雪S+9800X3D,1000+,jfs/t1/300800/35/5494/142672/68206265F2f7df0da/cc2722ff7d176473.jpg,1000000225,华硕品质;紧凑设计;WIFI支持;AMD平台,100168240267,2000+,100168240267
AMD锐龙7 CPU 自营,AMD锐龙R7 9700X+华硕 TUF GAMING B850M-E WIFI DDR5主板+CPU板U套装,3099.00,AMD电脑京东自营旗舰店,9700X+华硕 TUF GAMING B850M-E,500+,jfs/t1/386656/13/3198/106343/695f4e82Feefedf54/aa6c72dd0bed85ee.jpg,1000481867,WiFi集成;游戏专用;DDR5内存,100314800032,1000+,100314800032
AMD锐龙7 CPU 自营,华硕TUF GAMING B850M-PLUS WIFI7重炮手主板+AMD 锐龙7  9850X3D CPU  主板+CPU套装,4948.00,华硕京东自营旗舰店,华硕B850M重炮手WIFI7+9850X3D,2000+,jfs/t1/391012/36/3260/131149/696f309fF3c4b9e4c/0083320320317bea.jpg,1000000225,紧凑设计;强劲性能;游戏利器;WiFi7支持,100318522408,4000+,100318522408
AMD锐龙7 CPU 自营,ROG STRIX X870-A GAMING WIFI S主板+AMD 锐龙7  9800X3D CPU  主板+CPU套装,5719.00,华硕京东自营旗舰店,ROG X870吹雪S+9800X3D,2万+,jfs/t1/323979/40/11510/163304/68ad83cbFecdb8ffe/f040e267734169ee.jpg,1000000225,主板一年换新;混合双模超频;4个M.2接口;游戏专属,100270211426,6万+,100270211426
AMD锐龙7 CPU 自营,华硕TUF GAMING B850M-PLUS II重炮手主板+AMD 锐龙7  9800X3D CPU  主板+CPU套装,4399.00,华硕京东自营旗舰店,B850M重炮手2代+9800X3D,2000+,jfs/t1/238871/37/34717/126190/68e9c25eF44a80304/19d584cd01e24f3b.jpg,1000000225,主板一年换新;紧凑设计;三档性能调节;游戏专用,100209636375,5000+,100209636375
AMD锐龙7 CPU 自营,ROG STRIX X870E-E GAMING WIFI主板+AMD 锐龙7 9800X3D CPU  主板+CPU套装,6349.00,华硕京东自营旗舰店,ROG X870E-E WIFI+9800X3D,1000+,jfs/t1/101724/34/53405/147903/67235042F03425bd3/a98ce6431dbc6638.jpg,1000000225,主板一年换新;混合双模超频;5个M.2接口;游戏专属;强劲性能;高效散热;一年换新;ATX标准;稳定兼容;丰富接口,100151113960,2000+,100151113960
AMD锐龙7 CPU 自营,七彩虹（Colorful） 主板CPU套装BATTLE-AX B850M-PLUS S WIFI7 V14+AMD锐龙7 9800X3D游戏主板+CPU套装,3969.00,七彩虹京东自营旗舰店,七彩虹B850M超级黑刃WF+9800X3D,2万+,jfs/t1/336125/35/25932/151382/6915b421Faf10dfa3/f10aef47b224c90a.jpg,1000000267,主板3年质保;买套装更优惠;正品盒装带票;游戏利器;强劲性能,100213521705,6万+,100213521705
AMD锐龙7 CPU 自营,微星（MSI）主板CPU套装B850MPOWER+AMD锐龙7 9800X3D 板U套装,4649.00,微星京东自营旗舰店,主板CPU套装,200+,jfs/t1/331082/11/12379/387977/68c3ba2dF06201641/c5b35c5a245aeb05.jpg,1000000266,98X3D套装;专业超频组合;套装购买更优惠,100266120294,300+,100266120294
AMD锐龙7 CPU 自营,华硕TUF GAMING X870E-PLUS WIFI7主板+AMD 锐龙7  9850X3D CPU  主板+CPU套装,5898.00,华硕京东自营旗舰店,TUF  X870E-PLUS WIFI7+9850X3D,62,jfs/t1/389536/11/3548/138628/696f4841F5edc453f/0083320320245d96.jpg,1000000225,强劲性能;WiFi7连接,100318522354,,100318522354
AMD锐龙7 CPU 自营,华硕TUF GAMING X870E-PLUS WIFI7主板+AMD 锐龙7  9800X3D CPU  主板+CPU套装,5449.00,华硕京东自营旗舰店,TUF  X870E WIFI7+9800X3D,2000+,jfs/t1/298129/5/23178/125257/6875fe69Ff27edd06/e92fada64c1a9934.jpg,1000000225,性能强劲;WIFI支持;AI智能优化;WiFi7加持;强劲性能;强劲处理;游戏专享,100251350656,5000+,100251350656
AMD锐龙7 CPU 自营,华硕TUF GAMING B650EM-PLUS WIFI主板+AMD 锐龙7  7800X3D CPU  主板+CPU套装,3509.00,华硕京东自营旗舰店,B650EM 重炮手+7800X3D,2000+,jfs/t1/287792/11/6085/131069/68206c2cF91ecffeb/27402cdbaac46410.jpg,1000000225,紧凑设计;强劲性能;无线连接,100172207095,3000+,100172207095
AMD锐龙7 CPU 自营,AMD锐龙R7 9800X3D+微星B850M GAMING WIFI6E DDR5主板+CPU板U套装,4449.00,AMD电脑京东自营旗舰店,R7 9800X3D+微星B850M GAMING,500+,jfs/t1/387920/14/20585/102634/698018a9F4c04b0ad/00833203200fea4a.jpg,1000481867,个人送保;紧凑型设计;增值税票;高性能处理;游戏专用,100235902019,1000+,100235902019
AMD锐龙7 CPU 自营,华硕TUF GAMING B850M-E WIFI主板+AMD 锐龙7  9800X3D CPU  主板+CPU套装,4299.00,华硕京东自营旗舰店,TUF B850M-E +9800X3D,2000+,jfs/t1/312354/24/17325/91579/68760234Fa769c7c7/e77a655b20db9be8.png,1000000225,多核处理;紧凑设计;强劲性能,100191357147,5000+,100191357147
AMD锐龙7 CPU 自营,微星(MSI)MAG B650M MORTAR WIFI迫击炮+锐龙AMD R7 7800X3D 主板CPU套装,3559.00,微星京东自营旗舰店,,200+,jfs/t1/314268/36/13634/114594/686378caFa2c910e2/f0d69c20313231e7.jpg,1000000266,微星板U套装;主板三年质保;套装购买更优惠;WiFi集成;套装优惠;支持超频;提升流畅;强劲性能;稳固兼容;多重接口,100081236439,500+,100081236439
AMD锐龙7 CPU 自营,微星(MSI)主板CPU套装MAG B850M MORTAR WIFI迫击炮+AMD 9800X3D 板U套装,4389.00,微星京东自营旗舰店,微星B850M 迫击炮WIFI+9800X3D,2万+,jfs/t1/305096/27/10175/86285/684b9fffF0e95b65b/d55240787f99dc57.jpg,1000000266,高端质保;三年质保;套装购买更优惠;微星板U套装,100166777639,6万+,100166777639
AMD锐龙7 CPU 自营,华硕TUF GAMING X870-PLUS WIFI主板+AMD 锐龙7 9800X3D CPU  主板+CPU套装,5349.00,华硕京东自营旗舰店,TUF X870 WIFI+9800X3D,2000+,jfs/t1/186644/30/50623/135729/672350d5F60df8ff1/638193160b54248f.jpg,1000000225,稳定系统平台;出色游戏体验;精准电源管理;低延迟响应;高效散热;高效能处理;超频能力强;丰富接口;强大兼容性;高速数据传输,100151114002,5000+,100151114002
AMD锐龙7 CPU 自营,ROG STRIX B850-E GAMING WIFI主板+AMD 锐龙7 9800X3D CPU  主板+CPU套装,5949.00,华硕京东自营旗舰店,ROG B850-E WIFI+9800X3D,1000+,jfs/t1/261876/34/8287/158719/677a2c98Fffd4d4fa/b037e29dca632194.jpg,1000000225,多接口设计;丰富接口;游戏专用,100138578267,2000+,100138578267
AMD锐龙7 CPU 自营,微星MAG X870 TOMAHAWK WIFI+AMD 锐龙7 9800X3D-主板CPU套装,4649.00,微星京东自营旗舰店,,200+,jfs/t1/295264/35/11109/108968/684ba031Fcf855472/690028693d7049c3.jpg,1000000266,套装更优惠;主板三年质保;官方自营;高速链接;轻松组装;稳定支持;强劲性能;实力战斗;套装优惠;创新设计,100152433560,400+,100152433560
